id,target
2306.17743,3
2006.09518,2
2006.01191,4
1303.7050,4
2204.10663,1
2103.03980,4
2303.16422,4
2310.17003,1
2402.07322,4
2011.06593,1
2204.01700,1
1403.7925,3
1811.09932,2
2010.10862,1
1311.1496,1
2112.11727,3
2206.03608,2
2311.07628,1
1406.4322,2
2006.12296,4
2305.05663,2
1910.02779,1
1410.3991,3
chao-dyn/9704003,3
2103.03237,4
1801.06077,2
2208.09148,4
astro-ph/0111061,3
1204.4025,2
1505.05639,2
2012.14820,4
1612.03274,3
2008.10085,1
1212.4279,2
1606.08377,1
2204.04251,4
2302.06799,4
1002.4437,3
1309.7222,2
2304.00291,1
1406.5741,3
2110.15025,2
1705.06557,2
2306.13681,4
1608.01535,2
1603.01308,2
1911.07085,4
2106.01340,4
1408.6616,1
2107.11791,3
2401.16458,2
2106.12727,4
1606.02801,1
1401.2982,2
2210.09485,1
1001.3978,3
hep-th/9511214,3
astro-ph/0106150,3
2002.08470,1
1506.07286,3
2004.05726,1
math-ph/0302019,3
1912.07120,4
1406.5144,3
2309.13766,4
1902.10604,1
2402.16724,2
2005.01103,4
hep-th/0101217,3
2009.04171,4
1903.11004,4
1206.6787,2
2205.13472,3
0808.1904,3
1008.3937,3
2102.04160,2
2205.06132,4
2002.02271,2
2010.02129,1
2102.03039,1
2309.07363,4
2307.05054,4
1310.4387,1
2312.10543,1
q-bio/0608030,1
1712.09978,2
1801.07660,1
1512.01742,2
0712.4381,1
2106.12928,4
1711.10031,4
1802.10244,2
2303.00882,1
2011.05381,2
0911.0113,2
2002.07117,2
2210.00048,4
2310.11023,2
1612.04649,3
1809.04853,4
2304.06315,1
hep-th/0305027,3
q-bio/0506011,1
1901.00769,4
quant-ph/9506023,3
1811.04170,4
2403.03598,3
2309.01096,4
1710.01335,3
1805.10530,3
2402.18324,4
2101.04113,2
2106.05024,4
1408.4848,2
2306.01749,2
2006.13420,4
1904.12085,4
1802.08825,4
2006.01808,4
1105.1013,3
astro-ph/0404401,3
1803.11274,1
1908.02226,3
2307.02170,1
2002.07964,4
2402.08071,2
1910.01618,1
2304.09964,3
2305.14029,4
2302.10140,2
2208.12266,1
1802.01540,2
1909.05909,1
2210.09046,3
2111.03157,1
1907.08690,3
2111.01301,4
hep-ph/9709472,3
2110.01105,3
2204.09680,1
1811.03588,4
1603.07041,4
2301.07855,4
1408.5951,2
2307.06174,4
1608.07244,1
1912.06533,2
2006.15309,4
1608.02475,3
2103.07200,4
q-bio/0502013,1
2306.17773,4
2006.02989,3
2303.14590,1
0707.0717,3
hep-ph/0412328,3
2010.11644,4
2212.03704,4
2006.14499,2
1112.1391,1
1606.08984,2
1805.04048,4
2202.10157,1
q-bio/0508012,1
1306.4220,3
1801.06425,2
1712.05470,4
1602.03944,2
2104.14054,4
1401.5049,1
1812.03453,2
1510.03928,2
2211.10442,1
2402.14486,4
1205.2302,2
